code, name, year, theme, pieces, url, figs, retail, unique_figs, rating, retire_month, value
10233-1,Horizon Express,2013,673,1351,https://cdn.rebrickable.com/media/sets/10233-1.jpg,6,79.99,6,4.7,December 2014,237.35
10234-1,Sydney Opera House,2013,673,2989,https://cdn.rebrickable.com/media/sets/10234-1.jpg,0,249.99,0,4.8,November 2016,324.54
10235-1,Winter Village Market,2013,228,1261,https://cdn.rebrickable.com/media/sets/10235-1.jpg,9,79.99,9,4.8,December 2014,180.15
10236-1,Ewok Village,2013,171,1990,https://cdn.rebrickable.com/media/sets/10236-1.jpg,17,199.99,5,4.8,November 2016,509.95
10237-1,The Tower of Orthanc,2013,566,2362,https://cdn.rebrickable.com/media/sets/10237-1.jpg,5,169.99,2,4.9,October 2015,621.31
10240-1,Red Five X-Wing Starfighter,2013,171,1558,https://cdn.rebrickable.com/media/sets/10240-1.jpg,1,169.99,0,4.7,October 2015,236.78
10241-1,Maersk Line Triple-E,2014,673,1518,https://cdn.rebrickable.com/media/sets/10241-1.jpg,0,109.99,0,4.8,September 2015,260.64
10242-1,MINI Cooper,2014,673,1077,https://cdn.rebrickable.com/media/sets/10242-1.jpg,0,74.99,0,4.8,April 2019,179.26
10243-1,Parisian Restaurant,2014,155,2450,https://cdn.rebrickable.com/media/sets/10243-1.jpg,5,132.99,7,4.9,January 2020,276.61
10244-1,Fairground Mixer,2014,673,1745,https://cdn.rebrickable.com/media/sets/10244-1.jpg,12,119.99,13,4.7,November 2016,188.92
10245-1,Santa's Workshop,2014,228,884,https://cdn.rebrickable.com/media/sets/10245-1.jpg,6,59.99,5,4.8,November 2016,184.17
10246-1,Detective's Office,2015,155,2262,https://cdn.rebrickable.com/media/sets/10246-1.jpg,6,132.99,7,4.9,March 2018,362.03
10247-1,Ferris Wheel,2015,673,2464,https://cdn.rebrickable.com/media/sets/10247-1.jpg,10,149.99,11,4.8,December 2018,299.09
10248-1,Ferrari F40,2015,673,1158,https://cdn.rebrickable.com/media/sets/10248-1.jpg,0,69.99,0,4.5,November 2017,261.23
10249-1,Winter Toy Shop,2015,228,898,https://cdn.rebrickable.com/media/sets/10249-1.jpg,8,59.99,9,4.6,November 2017,170.77
10251-1,Brick Bank,2016,155,2384,https://cdn.rebrickable.com/media/sets/10251-1.jpg,6,119.99,6,5.0,November 2018,494.38
10252-1,Volkswagen Beetle,2016,673,1167,https://cdn.rebrickable.com/media/sets/10252-1.jpg,0,74.99,0,4.5,December 2020,109.23
10253-1,Big Ben,2016,673,4167,https://cdn.rebrickable.com/media/sets/10253-1.jpg,0,169.99,0,4.6,November 2018,331.23
10254-1,Winter Holiday Train,2016,228,735,https://cdn.rebrickable.com/media/sets/10254-1.jpg,5,69.99,5,4.9,December 2019,189.61
10256-1,Taj Mahal,2017,673,5923,https://cdn.rebrickable.com/media/sets/10256-1.jpg,0,299.99,0,4.9,November 2020,350.86
10257-1,Carousel,2017,673,2670,https://cdn.rebrickable.com/media/sets/10257-1.jpg,7,159.99,8,4.5,December 2019,329.49
10258-1,London Bus,2017,673,1686,https://cdn.rebrickable.com/media/sets/10258-1.jpg,0,109.99,0,4.8,December 2021,115.32
10259-1,Winter Village Station,2017,228,902,https://cdn.rebrickable.com/media/sets/10259-1.jpg,5,74.99,5,4.8,November 2018,184.28
10260-1,Downtown Diner,2018,155,2480,https://cdn.rebrickable.com/media/sets/10260-1.jpg,6,129.99,6,4.9,November 2020,264.07
10261-1,Roller Coaster,2018,673,4124,https://cdn.rebrickable.com/media/sets/10261-1.jpg,11,299.99,11,4.9,November 2021,372.16
10262-1,James Bond Aston Martin DB5,2018,673,1297,https://cdn.rebrickable.com/media/sets/10262-1.jpg,0,129.99,0,4.9,January 2022,160.77
10263-1,Winter Village Fire Station,2018,228,1166,https://cdn.rebrickable.com/media/sets/10263-1.jpg,8,84.99,7,4.8,December 2020,125.70
10264-1,Corner Garage,2019,155,2569,https://cdn.rebrickable.com/media/sets/10264-1.jpg,6,159.99,6,4.9,December 2021,225.32
10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087,https://cdn.rebrickable.com/media/sets/10266-1.jpg,2,84.99,2,4.9,December 2023,100.84
10267-1,Gingerbread House,2019,228,1477,https://cdn.rebrickable.com/media/sets/10267-1.jpg,2,84.99,2,4.8,October 2021,113.59
10268-1,Vestas Wind Turbine,2018,673,834,https://cdn.rebrickable.com/media/sets/10268-1.jpg,3,159.99,3,4.9,November 2020,226.63
10269-1,Harley-Davidson Fat Boy,2019,673,1023,https://cdn.rebrickable.com/media/sets/10269-1.jpg,0,84.99,0,4.9,November 2021,97.70
10270-1,Bookshop,2020,155,2504,https://cdn.rebrickable.com/media/sets/10270-1.jpg,5,169.99,5,4.8,December 2023,188.46
10271-1,Fiat 500,2020,673,960,https://cdn.rebrickable.com/media/sets/10271-1.jpg,0,74.99,0,4.8,November 2022,83.61
10272-1,Old Trafford - Manchester United,2020,673,3898,https://cdn.rebrickable.com/media/sets/10272-1.jpg,0,249.99,0,4.8,November 2022,332.92
10273-1,Haunted House,2020,721,3232,https://cdn.rebrickable.com/media/sets/10273-1.jpg,10,259.99,8,4.8,November 2023,287.02
10275-1,Elf Club House,2020,227,1197,https://cdn.rebrickable.com/media/sets/10275-1.jpg,4,84.99,4,4.8,November 2022,98.81
10276-1,Colosseum,2020,721,9036,https://cdn.rebrickable.com/media/sets/10276-1.jpg,0,474.99,0,4.8,November 2023,665.62
10277-1,Crocodile Locomotive,2020,721,1279,https://cdn.rebrickable.com/media/sets/10277-1.jpg,2,89.99,2,4.8,November 2021,118.00
10403-1,World Fun,2018,621,295,https://cdn.rebrickable.com/media/sets/10403-1.jpg,2,14.99,2,4.5,January 2019,21.35
10404-1,Ocean's Bottom,2018,621,579,https://cdn.rebrickable.com/media/sets/10404-1.jpg,2,24.99,2,4.5,December 2018,37.81
10405-1,Mission to Mars,2018,621,871,https://cdn.rebrickable.com/media/sets/10405-1.jpg,3,44.99,3,4.5,December 2018,81.54
10654-1,XL Creative Brick Box,2016,621,1600,https://cdn.rebrickable.com/media/sets/10654-1.jpg,0,49.99,0,4.3,December 2016,112.37
10662-1,Creative Bucket,2013,35,607,https://cdn.rebrickable.com/media/sets/10662-1.jpg,0,19.99,0,4.5,November 2014,66.14
10664-1,Creative Tower,2013,35,1600,https://cdn.rebrickable.com/media/sets/10664-1.jpg,0,49.99,0,4.5,January 2015,79.68
10674-1,Pony Farm,2014,591,306,https://cdn.rebrickable.com/media/sets/10674-1.jpg,1,24.99,1,4.6,December 2016,76.43
10676-1,Knights' Castle,2014,591,480,https://cdn.rebrickable.com/media/sets/10676-1.jpg,4,34.99,4,4.5,November 2015,120.23
10682-1,Creative Suitcase,2014,35,1017,https://cdn.rebrickable.com/media/sets/10682-1.jpg,0,34.99,0,4.4,January 2015,67.18
10686-1,Family House,2015,591,226,https://cdn.rebrickable.com/media/sets/10686-1.jpg,3,24.99,3,4.3,December 2016,42.10
10692-1,Creative Bricks,2015,621,221,https://cdn.rebrickable.com/media/sets/10692-1.jpg,0,12.99,0,4.2,January 2023,17.06
10693-1,Creative Supplement,2015,621,303,https://cdn.rebrickable.com/media/sets/10693-1.jpg,0,17.99,0,4.2,January 2019,20.56
10694-1,Creative Supplement Bright,2015,621,303,https://cdn.rebrickable.com/media/sets/10694-1.jpg,0,17.99,0,4.3,December 2017,31.04
10695-1,Creative Building Box,2015,621,580,https://cdn.rebrickable.com/media/sets/10695-1.jpg,0,19.99,0,4.7,December 2016,112.04
10697-1,XXXL Box,2015,621,1500,https://cdn.rebrickable.com/media/sets/10697-1.jpg,0,49.99,0,4.5,December 2016,140.79
10702-1,Creative Building Set,2016,621,583,https://cdn.rebrickable.com/media/sets/10702-1.jpg,0,19.99,0,4.6,November 2017,29.73
10703-1,Creative Builder Box,2017,621,502,https://cdn.rebrickable.com/media/sets/10703-1.jpg,0,19.99,0,4.4,December 2018,51.70
10704-1,Creative Box,2017,621,900,https://cdn.rebrickable.com/media/sets/10704-1.jpg,0,29.99,0,4.4,December 2018,49.14
10712-1,Bricks and Gears,2018,621,244,https://cdn.rebrickable.com/media/sets/10712-1.jpg,0,17.99,0,4.6,January 2020,21.44
10717-1,Bricks Bricks Bricks,2018,621,1500,https://cdn.rebrickable.com/media/sets/10717-1.jpg,0,49.99,0,4.6,March 2022,69.62
10745-1,Florida 500 Race Final,2017,615,266,https://cdn.rebrickable.com/media/sets/10745-1.jpg,5,44.99,4,4.7,December 2018,104.71
10763-1,Stephanie's Lakeside House,2018,595,215,https://cdn.rebrickable.com/media/sets/10763-1.jpg,3,29.99,1,4.5,January 2019,29.43
10764-1,City Central Airport,2018,591,376,https://cdn.rebrickable.com/media/sets/10764-1.jpg,5,44.99,4,4.5,January 2020,51.90
10770-1,Buzz & Woody's Carnival Mania!,2019,275,230,https://cdn.rebrickable.com/media/sets/10770-1.jpg,5,44.99,3,4.5,February 2021,38.18
10937-1,Batman: Arkham Asylum Breakout,2012,697,1621,https://cdn.rebrickable.com/media/sets/10937-1.jpg,8,129.99,5,4.5,December 2014,201.33
11004-1,Windows of Creativity,2019,621,450,https://cdn.rebrickable.com/media/sets/11004-1.jpg,0,24.99,0,4.7,January 2021,54.83
11005-1,Creative Fun,2019,621,900,https://cdn.rebrickable.com/media/sets/11005-1.jpg,0,29.99,0,4.3,November 2020,39.06
11008-1,Bricks and Houses,2020,621,270,https://cdn.rebrickable.com/media/sets/11008-1.jpg,0,17.99,0,4.6,January 2023,18.94
11009-1,Bricks and Lights,2020,621,441,https://cdn.rebrickable.com/media/sets/11009-1.jpg,0,24.99,0,4.6,March 2022,25.84
11011-1,Bricks and Animals,2020,621,1500,https://cdn.rebrickable.com/media/sets/11011-1.jpg,0,54.99,0,4.6,January 2023,47.42
11717-1,Bricks Bricks Plates,2020,621,1504,https://cdn.rebrickable.com/media/sets/11717-1.jpg,0,64.99,0,4.6,January 2023,72.02
17101-1,Creative Toolbox,2017,301,847,https://cdn.rebrickable.com/media/sets/17101-1.jpg,0,149.99,0,4.6,December 2022,196.38
19001-1,L�wenstein Castle,2019,719,2017,https://cdn.rebrickable.com/media/sets/19001-1.jpg,3,179.99,3,5.0,April 2019,818.97
19002-1,Antique Fire Engine,2019,719,1279,https://cdn.rebrickable.com/media/sets/19002-1.jpg,0,139.99,0,4.9,April 2019,474.31
19003-1,Skyline Express,2019,719,1366,https://cdn.rebrickable.com/media/sets/19003-1.jpg,6,139.99,0,4.9,April 2019,358.64
19004-1,Wild West Saloon,2019,719,1497,https://cdn.rebrickable.com/media/sets/19004-1.jpg,0,139.99,0,4.9,April 2019,379.11
19005-1,Isle of Peril,2019,719,1302,https://cdn.rebrickable.com/media/sets/19005-1.jpg,0,79.99,0,4.9,April 2019,493.74
19006-1,Eight Studs,2019,719,1394,https://cdn.rebrickable.com/media/sets/19006-1.jpg,0,79.99,0,4.9,April 2019,674.14
19007-1,Science Tower,2019,719,1205,https://cdn.rebrickable.com/media/sets/19007-1.jpg,2,139.99,0,4.9,April 2019,286.22
19008-1,The LEGO Story,2019,719,1443,https://cdn.rebrickable.com/media/sets/19008-1.jpg,0,89.99,0,4.8,April 2019,170.92
19009-1,Imagine It! Build It!,2019,719,925,https://cdn.rebrickable.com/media/sets/19009-1.jpg,0,59.99,0,5.0,April 2019,776.89
19010-1,Hot Shot Carnival,2019,719,592,https://cdn.rebrickable.com/media/sets/19010-1.jpg,3,54.99,3,4.7,April 2019,289.87
19011-1,Vintage Roadster,2019,719,475,https://cdn.rebrickable.com/media/sets/19011-1.jpg,0,59.99,0,4.9,April 2019,155.28
19012-1,Bikes!,2019,719,520,https://cdn.rebrickable.com/media/sets/19012-1.jpg,2,44.99,2,4.9,April 2019,296.35
19013-1,Steampunk Mini Chess,2019,719,372,https://cdn.rebrickable.com/media/sets/19013-1.jpg,0,37.99,0,4.7,April 2019,221.65
2000430-1,Identity and Landscape Kit,2013,507,2854,https://cdn.rebrickable.com/media/sets/2000430-1.jpg,6,509.99,0,4.5,October 2021,835.74
2000431-1,Connections Kit,2013,507,2448,https://cdn.rebrickable.com/media/sets/2000431-1.jpg,0,490.18,0,4.5,October 2021,711.17
20215-1,Invention Designer (Kits 10 - 12),2013,432,675,https://cdn.rebrickable.com/media/sets/20215-1.jpg,3,63.19,3,4.5,January 2015,140.07
21008-1,Burj Khalifa,2011,252,208,https://cdn.rebrickable.com/media/sets/21008-1.jpg,0,22.99,0,4.7,December 2013,111.52
21009-1,Farnsworth House,2011,252,546,https://cdn.rebrickable.com/media/sets/21009-1.jpg,0,54.99,0,4.8,April 2014,281.24
21010-1,Robie House,2011,252,2276,https://cdn.rebrickable.com/media/sets/21010-1.jpg,0,169.99,0,4.9,December 2013,524.17
21011-1,Brandenburg Gate,2011,252,363,https://cdn.rebrickable.com/media/sets/21011-1.jpg,0,34.99,0,4.8,December 2015,103.39
21012-1,Sydney Opera House,2012,252,270,https://cdn.rebrickable.com/media/sets/21012-1.jpg,0,34.99,0,4.6,December 2014,140.61
21013-1,Big Ben,2012,252,346,https://cdn.rebrickable.com/media/sets/21013-1.jpg,0,24.99,0,4.5,November 2016,89.92
21014-1,Villa Savoye,2012,252,660,https://cdn.rebrickable.com/media/sets/21014-1.jpg,0,59.99,0,4.8,December 2015,234.46
21015-1,The Leaning Tower of Pisa,2013,252,345,https://cdn.rebrickable.com/media/sets/21015-1.jpg,0,29.99,0,4.8,December 2015,141.02
21016-1,Sungnyemun,2012,252,325,https://cdn.rebrickable.com/media/sets/21016-1.jpg,0,29.99,0,4.7,February 2013,314.51
21017-1,Imperial Hotel,2013,252,1188,https://cdn.rebrickable.com/media/sets/21017-1.jpg,0,99.99,0,4.6,December 2015,169.34
21018-1,United Nations Headquarters,2013,252,597,https://cdn.rebrickable.com/media/sets/21018-1.jpg,0,49.99,0,4.6,December 2015,105.05
21019-1,The Eiffel Tower,2014,252,320,https://cdn.rebrickable.com/media/sets/21019-1.jpg,0,29.99,0,4.9,December 2018,87.86
21020-1,Trevi Fountain,2014,252,731,https://cdn.rebrickable.com/media/sets/21020-1.jpg,0,39.99,0,4.8,November 2016,185.59
21022-1,Lincoln Memorial,2015,252,274,https://cdn.rebrickable.com/media/sets/21022-1.jpg,0,24.99,0,4.8,December 2016,126.87
21023-1,Flatiron Building,2015,252,471,https://cdn.rebrickable.com/media/sets/21023-1.jpg,0,34.99,0,4.4,December 2016,78.96
21024-1,Louvre,2015,252,695,https://cdn.rebrickable.com/media/sets/21024-1.jpg,0,44.99,0,4.5,November 2017,129.15
21026-1,Venice,2016,253,212,https://cdn.rebrickable.com/media/sets/21026-1.jpg,0,24.99,0,4.9,November 2017,191.04
21027-1,Berlin,2016,253,289,https://cdn.rebrickable.com/media/sets/21027-1.jpg,0,24.99,0,4.8,November 2017,220.31
21029-1,Buckingham Palace,2016,252,780,https://cdn.rebrickable.com/media/sets/21029-1.jpg,0,39.99,0,4.8,November 2018,98.31
21030-1,United States Capitol Building,2016,252,1032,https://cdn.rebrickable.com/media/sets/21030-1.jpg,0,84.99,0,4.8,November 2019,144.82
21031-1,Burj Khalifa,2016,252,333,https://cdn.rebrickable.com/media/sets/21031-1.jpg,0,39.99,0,4.5,December 2017,86.07
21032-1,Sydney,2017,253,361,https://cdn.rebrickable.com/media/sets/21032-1.jpg,0,29.99,0,5.0,November 2018,154.08
21033-1,Chicago,2017,253,444,https://cdn.rebrickable.com/media/sets/21033-1.jpg,0,44.99,0,4.9,December 2018,183.75
21035-1,Solomon R. Guggenheim Museum,2017,252,744,https://cdn.rebrickable.com/media/sets/21035-1.jpg,0,64.99,0,4.8,December 2018,123.98
21036-1,Arc de Triomphe,2017,252,386,https://cdn.rebrickable.com/media/sets/21036-1.jpg,0,29.99,0,4.9,November 2018,79.74
21037-1,LEGO House,2017,252,774,https://cdn.rebrickable.com/media/sets/21037-1.jpg,0,44.99,0,4.8,May 2020,78.22
21039-1,Shanghai,2018,253,597,https://cdn.rebrickable.com/media/sets/21039-1.jpg,0,54.99,0,4.8,January 2021,85.30
21041-1,Great Wall of China,2018,252,550,https://cdn.rebrickable.com/media/sets/21041-1.jpg,0,44.99,0,4.9,November 2019,85.94
21043-1,San Francisco,2019,253,565,https://cdn.rebrickable.com/media/sets/21043-1.jpg,0,44.99,0,4.7,November 2021,58.55
21045-1,Trafalgar Square,2019,252,1197,https://cdn.rebrickable.com/media/sets/21045-1.jpg,0,79.99,0,4.7,January 2022,73.49
21046-1,Empire State Building,2019,252,1767,https://cdn.rebrickable.com/media/sets/21046-1.jpg,0,89.99,0,4.9,January 2022,126.59
21047-1,Las Vegas,2018,253,501,https://cdn.rebrickable.com/media/sets/21047-1.jpg,0,34.99,0,4.9,November 2020,70.79
21050-1,Architecture Studio,2013,252,1211,https://cdn.rebrickable.com/media/sets/21050-1.jpg,0,149.99,0,4.9,December 2017,327.34
21051-1,Tokyo,2020,253,547,https://cdn.rebrickable.com/media/sets/21051-1.jpg,0,54.99,0,4.8,November 2022,62.41
21052-1,Dubai,2020,253,740,https://cdn.rebrickable.com/media/sets/21052-1.jpg,0,54.99,0,4.8,January 2022,64.53
21055-1,Burj Khalifa,2019,252,333,https://cdn.rebrickable.com/media/sets/21055-1.jpg,0,44.99,0,4.9,October 2021,98.83
21101-1,Hayabusa,2012,576,369,https://cdn.rebrickable.com/media/sets/21101-1.jpg,1,44.99,1,4.8,November 2013,245.06
21102-1,Micro World,2012,576,479,https://cdn.rebrickable.com/media/sets/21102-1.jpg,2,34.99,2,4.5,January 2015,51.04
21103-1,The DeLorean Time Machine,2013,576,401,https://cdn.rebrickable.com/media/sets/21103-1.jpg,2,34.99,1,4.8,December 2014,109.40
21104-1,NASA Mars Science Laboratory Curiosity Rover,2014,576,295,https://cdn.rebrickable.com/media/sets/21104-1.jpg,0,24.99,0,5.0,April 2014,359.86
21105-1,Micro World - The Village,2013,577,466,https://cdn.rebrickable.com/media/sets/21105-1.jpg,3,29.99,3,4.8,November 2014,87.52
21106-1,Micro World - The Nether,2013,577,470,https://cdn.rebrickable.com/media/sets/21106-1.jpg,3,29.99,2,4.5,January 2015,71.16
21107-1,Micro World - The End,2014,577,440,https://cdn.rebrickable.com/media/sets/21107-1.jpg,4,29.99,1,4.7,January 2015,60.06
21108-1,Ghostbusters Ecto-1,2014,576,508,https://cdn.rebrickable.com/media/sets/21108-1.jpg,4,44.99,8,4.7,November 2016,104.07
21109-1,Exo-Suit,2014,576,321,https://cdn.rebrickable.com/media/sets/21109-1.jpg,2,29.99,2,4.7,August 2015,57.54
21113-1,The Cave,2014,577,249,https://cdn.rebrickable.com/media/sets/21113-1.jpg,2,19.99,0,4.7,November 2017,46.07
21114-1,The Farm,2014,577,262,https://cdn.rebrickable.com/media/sets/21114-1.jpg,2,24.99,0,4.2,December 2016,48.80
21115-1,The First Night,2014,577,408,https://cdn.rebrickable.com/media/sets/21115-1.jpg,2,39.99,0,4.8,November 2016,113.86
21116-1,Crafting Box,2014,577,518,https://cdn.rebrickable.com/media/sets/21116-1.jpg,2,49.99,0,4.5,November 2016,100.72
21117-1,The Ender Dragon,2014,577,636,https://cdn.rebrickable.com/media/sets/21117-1.jpg,4,59.99,1,4.8,December 2016,215.41
21118-1,The Mine,2014,577,922,https://cdn.rebrickable.com/media/sets/21118-1.jpg,4,89.99,0,4.8,December 2015,266.78
21119-1,The Dungeon,2015,577,219,https://cdn.rebrickable.com/media/sets/21119-1.jpg,3,19.99,0,4.5,November 2017,38.01
21120-1,The Snow Hideout,2015,577,327,https://cdn.rebrickable.com/media/sets/21120-1.jpg,3,39.99,1,4.4,November 2017,59.51
21121-1,The Desert Outpost,2015,577,519,https://cdn.rebrickable.com/media/sets/21121-1.jpg,4,59.99,1,4.3,November 2017,91.43
21122-1,The Nether Fortress,2015,577,571,https://cdn.rebrickable.com/media/sets/21122-1.jpg,4,69.99,2,4.7,November 2017,119.05
21123-1,The Iron Golem,2016,577,208,https://cdn.rebrickable.com/media/sets/21123-1.jpg,2,19.99,0,4.7,December 2018,37.49
21124-1,The End Portal,2016,577,559,https://cdn.rebrickable.com/media/sets/21124-1.jpg,3,49.99,1,4.8,December 2017,186.41
21125-1,The Jungle Tree House,2016,577,707,https://cdn.rebrickable.com/media/sets/21125-1.jpg,4,74.99,1,4.8,November 2017,184.88
21126-1,The Wither,2016,577,318,https://cdn.rebrickable.com/media/sets/21126-1.jpg,3,29.99,0,4.8,November 2017,143.89
21127-1,The Fortress,2016,577,984,https://cdn.rebrickable.com/media/sets/21127-1.jpg,0,89.99,0,4.8,December 2017,272.98
21128-1,The Village,2016,577,1600,https://cdn.rebrickable.com/media/sets/21128-1.jpg,9,169.99,4,4.9,December 2017,532.36
21129-1,The Mushroom Island,2017,577,247,https://cdn.rebrickable.com/media/sets/21129-1.jpg,2,19.99,0,4.8,December 2018,55.99
21130-1,The Nether Railway,2017,577,387,https://cdn.rebrickable.com/media/sets/21130-1.jpg,2,39.99,1,4.8,February 2019,73.06
21131-1,The Ice Spikes,2017,577,454,https://cdn.rebrickable.com/media/sets/21131-1.jpg,2,44.99,1,4.7,January 2018,121.99
21132-1,The Jungle Temple,2017,577,598,https://cdn.rebrickable.com/media/sets/21132-1.jpg,3,54.99,1,4.7,November 2017,220.51
21133-1,The Witch Hut,2017,577,502,https://cdn.rebrickable.com/media/sets/21133-1.jpg,2,64.99,2,4.7,November 2017,210.08
21134-1,The Waterfall Base,2017,577,729,https://cdn.rebrickable.com/media/sets/21134-1.jpg,4,74.99,2,4.7,November 2018,113.70
21135-1,The Crafting Box 2.0,2017,577,717,https://cdn.rebrickable.com/media/sets/21135-1.jpg,2,79.99,1,4.8,December 2019,98.82
21136-1,The Ocean Monument,2017,577,1122,https://cdn.rebrickable.com/media/sets/21136-1.jpg,2,119.99,1,4.8,March 2019,249.88
21137-1,The Mountain Cave,2017,577,2863,https://cdn.rebrickable.com/media/sets/21137-1.jpg,6,259.99,4,5.0,December 2018,"1739.57"
21141-1,The Zombie Cave,2018,577,241,https://cdn.rebrickable.com/media/sets/21141-1.jpg,3,19.99,1,4.7,November 2020,25.17
21142-1,The Polar Igloo,2018,577,278,https://cdn.rebrickable.com/media/sets/21142-1.jpg,2,39.99,2,4.7,January 2020,64.38
21143-1,The Nether Portal,2018,577,470,https://cdn.rebrickable.com/media/sets/21143-1.jpg,3,49.99,2,4.7,October 2020,93.32
21144-1,The Farm Cottage,2018,577,549,https://cdn.rebrickable.com/media/sets/21144-1.jpg,3,64.99,0,4.8,November 2018,178.19
21146-1,The Skeleton Attack,2018,577,457,https://cdn.rebrickable.com/media/sets/21146-1.jpg,4,49.99,0,4.8,December 2018,100.84
21147-1,The Bedrock Adventures,2018,577,644,https://cdn.rebrickable.com/media/sets/21147-1.jpg,4,79.99,0,4.8,June 2019,111.24
21151-1,The End Battle,2019,577,222,https://cdn.rebrickable.com/media/sets/21151-1.jpg,2,19.99,2,4.7,February 2022,31.04
21152-1,The Pirate Ship Adventure,2019,577,386,https://cdn.rebrickable.com/media/sets/21152-1.jpg,2,49.99,2,4.6,November 2021,40.85
21153-1,The Wool Farm,2019,577,260,https://cdn.rebrickable.com/media/sets/21153-1.jpg,1,19.99,0,4.6,October 2021,19.99
21154-1,The Blaze Bridge,2019,577,372,https://cdn.rebrickable.com/media/sets/21154-1.jpg,4,39.99,2,4.7,March 2022,31.21
21155-1,The Creeper Mine,2019,577,834,https://cdn.rebrickable.com/media/sets/21155-1.jpg,4,79.99,2,4.7,July 2021,90.44
21158-1,The Panda Nursery,2020,577,204,https://cdn.rebrickable.com/media/sets/21158-1.jpg,1,19.99,0,4.7,December 2022,19.79
21159-1,The Pillager Outpost,2020,577,303,https://cdn.rebrickable.com/media/sets/21159-1.jpg,4,29.99,2,4.6,November 2021,35.23
21160-1,The Illager Raid,2020,577,562,https://cdn.rebrickable.com/media/sets/21160-1.jpg,5,64.99,4,4.7,December 2022,56.21
21161-1,The Crafting Box 3.0,2020,577,564,https://cdn.rebrickable.com/media/sets/21161-1.jpg,4,74.99,0,4.8,January 2023,70.48
21163-1,The Redstone Battle,2020,577,511,https://cdn.rebrickable.com/media/sets/21163-1.jpg,4,44.99,4,4.6,February 2022,81.21
21165-1,The Bee Farm,2020,577,238,https://cdn.rebrickable.com/media/sets/21165-1.jpg,2,17.99,2,4.7,December 2022,20.09
21167-1,The Trading Post,2020,577,201,https://cdn.rebrickable.com/media/sets/21167-1.jpg,3,19.99,1,4.7,December 2022,19.26
21204-1,Town Master,2014,590,256,https://cdn.rebrickable.com/media/sets/21204-1.jpg,1,17.99,1,4.4,June 2015,38.09
21205-1,Battle Towers,2014,590,212,https://cdn.rebrickable.com/media/sets/21205-1.jpg,0,17.99,0,4.5,June 2015,29.41
21206-1,Create and Race,2014,590,223,https://cdn.rebrickable.com/media/sets/21206-1.jpg,0,27.64,0,4.6,October 2014,86.32
21208-1,Resort Designer,2014,590,262,https://cdn.rebrickable.com/media/sets/21208-1.jpg,1,17.99,0,4.3,June 2015,28.75
21301-1,Birds,2015,576,580,https://cdn.rebrickable.com/media/sets/21301-1.jpg,0,39.99,0,4.8,January 2016,117.97
21302-1,The Big Bang Theory,2015,576,498,https://cdn.rebrickable.com/media/sets/21302-1.jpg,7,49.99,7,4.9,December 2016,175.58
21303-1,WALL�E [Original Version],2015,576,677,https://cdn.rebrickable.com/media/sets/21303-1.jpg,0,39.99,0,5.0,November 2016,242.54
